category,name,parent,body_md,source,tags
race,"Aasimar, Fallen",Aasimar,"## Aasimar, Fallen

*Medium | Speed 30 ft.*

**Ability Score Increases:** STR +1, CHA +2

### Racial Traits


**Celestial Resistance.** You have Resistance|XPHB to Necrotic damage and Radiant damage.

**Darkvision.** You have XPHB with a range of 60 feet.

**Healing Hands.** As a XPHB action, you touch a creature and roll a number of d4s equal to your Proficiency|XPHB|Proficiency Bonus. The creature regains a number of Hit Points|XPHB equal to the total rolled. Once you use this trait, you can't use it again until you finish a Long Rest|XPHB.

**Light Bearer.** You know the XPHB cantrip. Charisma is your spellcasting ability for it.

**Celestial Revelation.** When you reach character level 3, you can transform as a Bonus Action|XPHB using one of the options below (choose the option each time you transform). The transformation lasts for 1 minute or until you end it (no action required). Once you transform, you can't do so again until you finish a Long Rest|XPHB.
Once on each of your turns before the transformation ends, you can deal extra damage to one target when you deal damage to it with an attack or a spell. The extra damage equals your Proficiency|XPHB|Proficiency Bonus, and the extra damage's type is either Necrotic for Necrotic Shroud or Radiant for Heavenly Wings and Inner Radiance.
Here are the transformation options:
- **Heavenly Wings:** Two spectral wings sprout from your back temporarily. Until the transformation ends, you have a Fly Speed|XPHB equal to your Speed|XPHB.
- **Inner Radiance:** Searing light temporarily radiates from your eyes and mouth. For the duration, you shed Bright Light|XPHB in a 10-foot radius and Dim Light|XPHB for an additional 10 feet, and at the end of each of your turns, each creature within 10 feet of you takes Radiant damage equal to your Proficiency|XPHB|Proficiency Bonus.
- **Necrotic Shroud:** Your eyes briefly become pools of darkness, and flightless wings sprout from your back temporarily. Creatures other than your allies within 10 feet of you must succeed on a Charisma saving throw (DC 8 plus your Charisma modifier and Proficiency|XPHB|Proficiency Bonus) or have the XPHB condition until the end of your next turn.

**Languages:** Common

*Source: Volo's Guide to Monsters*",Volo's Guide to Monsters,race;medium;vgm
race,"Aasimar, Protector",Aasimar,"## Aasimar, Protector

*Medium | Speed 30 ft.*

**Ability Score Increases:** WIS +1, CHA +2

### Racial Traits


**Celestial Resistance.** You have Resistance|XPHB to Necrotic damage and Radiant damage.

**Darkvision.** You have XPHB with a range of 60 feet.

**Healing Hands.** As a XPHB action, you touch a creature and roll a number of d4s equal to your Proficiency|XPHB|Proficiency Bonus. The creature regains a number of Hit Points|XPHB equal to the total rolled. Once you use this trait, you can't use it again until you finish a Long Rest|XPHB.

**Light Bearer.** You know the XPHB cantrip. Charisma is your spellcasting ability for it.

**Celestial Revelation.** When you reach character level 3, you can transform as a Bonus Action|XPHB using one of the options below (choose the option each time you transform). The transformation lasts for 1 minute or until you end it (no action required). Once you transform, you can't do so again until you finish a Long Rest|XPHB.
Once on each of your turns before the transformation ends, you can deal extra damage to one target when you deal damage to it with an attack or a spell. The extra damage equals your Proficiency|XPHB|Proficiency Bonus, and the extra damage's type is either Necrotic for Necrotic Shroud or Radiant for Heavenly Wings and Inner Radiance.
Here are the transformation options:
- **Heavenly Wings:** Two spectral wings sprout from your back temporarily. Until the transformation ends, you have a Fly Speed|XPHB equal to your Speed|XPHB.
- **Inner Radiance:** Searing light temporarily radiates from your eyes and mouth. For the duration, you shed Bright Light|XPHB in a 10-foot radius and Dim Light|XPHB for an additional 10 feet, and at the end of each of your turns, each creature within 10 feet of you takes Radiant damage equal to your Proficiency|XPHB|Proficiency Bonus.
- **Necrotic Shroud:** Your eyes briefly become pools of darkness, and flightless wings sprout from your back temporarily. Creatures other than your allies within 10 feet of you must succeed on a Charisma saving throw (DC 8 plus your Charisma modifier and Proficiency|XPHB|Proficiency Bonus) or have the XPHB condition until the end of your next turn.

**Languages:** Common

*Source: Volo's Guide to Monsters*",Volo's Guide to Monsters,race;medium;vgm
race,"Aasimar, Scourge",Aasimar,"## Aasimar, Scourge

*Medium | Speed 30 ft.*

**Ability Score Increases:** CON +1, CHA +2

### Racial Traits


**Celestial Resistance.** You have Resistance|XPHB to Necrotic damage and Radiant damage.

**Darkvision.** You have XPHB with a range of 60 feet.

**Healing Hands.** As a XPHB action, you touch a creature and roll a number of d4s equal to your Proficiency|XPHB|Proficiency Bonus. The creature regains a number of Hit Points|XPHB equal to the total rolled. Once you use this trait, you can't use it again until you finish a Long Rest|XPHB.

**Light Bearer.** You know the XPHB cantrip. Charisma is your spellcasting ability for it.

**Celestial Revelation.** When you reach character level 3, you can transform as a Bonus Action|XPHB using one of the options below (choose the option each time you transform). The transformation lasts for 1 minute or until you end it (no action required). Once you transform, you can't do so again until you finish a Long Rest|XPHB.
Once on each of your turns before the transformation ends, you can deal extra damage to one target when you deal damage to it with an attack or a spell. The extra damage equals your Proficiency|XPHB|Proficiency Bonus, and the extra damage's type is either Necrotic for Necrotic Shroud or Radiant for Heavenly Wings and Inner Radiance.
Here are the transformation options:
- **Heavenly Wings:** Two spectral wings sprout from your back temporarily. Until the transformation ends, you have a Fly Speed|XPHB equal to your Speed|XPHB.
- **Inner Radiance:** Searing light temporarily radiates from your eyes and mouth. For the duration, you shed Bright Light|XPHB in a 10-foot radius and Dim Light|XPHB for an additional 10 feet, and at the end of each of your turns, each creature within 10 feet of you takes Radiant damage equal to your Proficiency|XPHB|Proficiency Bonus.
- **Necrotic Shroud:** Your eyes briefly become pools of darkness, and flightless wings sprout from your back temporarily. Creatures other than your allies within 10 feet of you must succeed on a Charisma saving throw (DC 8 plus your Charisma modifier and Proficiency|XPHB|Proficiency Bonus) or have the XPHB condition until the end of your next turn.

**Languages:** Common

*Source: Volo's Guide to Monsters*",Volo's Guide to Monsters,race;medium;vgm
feat,Aberrant Anatomy,,"## Aberrant Anatomy

**Prerequisite:** None

Exposure to alien horrors like those of the Far Realm has warped your physical form in supernatural ways. You gain the following features.

**Breathless.** You can hold your breath for 1 hour.

**Extrasensory Perception.** You have proficiency in the XPHB skill, if you lack it. You also gain Expertise|XPHB in that skill.
In addition, you have XPHB with a range of 15 feet.

**Warping Flesh.** Immediately after you make a D20 Test|XPHB and roll a 1 on the d20, the aberrant influence infecting your form flares, wrenching control of your flesh. Make a Constitution saving throw (DC 13 plus your Proficiency|XPHB|Proficiency Bonus). On a failed save, you have the XPHB condition until the end of your next turn.

*Source: RHW*",RHW,feat;rhw
feat,Aberrant Dragonmark,,"## Aberrant Dragonmark

**Prerequisite:** None

You gain the following benefits.

**Aberrant Fortitude.** When you fail a Constitution saving throw, you can take a Reaction|XPHB to roll 1d4 and add the number rolled to the save, potentially turning the failure into a success. Once you've used this benefit, you can't use it again until you finish a Long Rest|XPHB.

**Aberrant Magic.** You know one cantrip of your choice from the Sorcerer spell list|spells|level=0|class=Sorcerer. Also, choose a level 1 spell from that spell list. You always have that spell prepared. You can cast it once without a spell slot, and you regain the ability to cast it in that way when you finish a Short Rest|XPHB|Short or Long Rest|XPHB. You can also cast this spell using any spell slots you have. Constitution is your spellcasting ability for this spell.

**Aberrant Surge.** When you cast the level 1 spell from this feat, you can expend one of your Hit Point Dice|XPHB and roll it. If you roll an even number, you gain a number of Temporary Hit Points|XPHB equal to the number rolled. If you roll an odd number, one creature within 30 feet of you (not including you) takes Force damage equal to the number rolled. If no other creatures are in range, you take the damage.

*Source: EFA*",EFA,feat;efa
feat,Aberrant Dragonmark,,"## Aberrant Dragonmark

**Prerequisite:** No other dragonmark
**Ability Score Increase:** CON +1

You have manifested an aberrant dragonmark. Determine its appearance and the flaw associated with it. You gain the following benefits:
- You learn a cantrip of your choice from the sorcerer spell list|spells|level=0|class=Sorcerer. In addition, choose a 1st-level spell from the sorcerer spell list|spells|level=1|class=Sorcerer. You learn that spell and can cast it through your mark. Once you cast it, you must finish a short or long rest before you can cast it again through the mark. Constitution is your spellcasting ability for these spells.
- When you cast the 1st-level spell through your mark, you can expend one of your Hit Dice and roll it. If you roll an even number, you gain a number of temporary hit points equal to the number rolled. If you roll an odd number, one random creature within 30 feet of you (not including you) takes force damage equal to the number rolled. If no other creatures are in range, you take the damage.
You also develop a random flaw from the Aberrant Dragonmark Flaws table.
*[Table: Aberrant Dragonmark Flaws]*
| d8 | Flaw |
|---|---|
| 1 | Your mark is a source of constant physical pain. |
| 2 | Your mark whispers to you. Its meaning can be unclear. |
| 3 | When you're stressed, the mark hisses audibly. |
| 4 | The skin around the mark is burned, scaly, or withered. |
| 5 | Animals are uneasy around you. |
| 6 | You have a mood swing any time you use your mark. |
| 7 | Your looks change slightly whenever you use the mark. |
| 8 | You have horrific nightmares after you use your mark. |

**Option: Greater Aberrant Powers.** At the DM's option, a character who has the Aberrant Dragonmark feat has a chance of manifesting greater power. Upon reaching 10th level, such a character has a 10% chance chance of gaining an epic boon|rewards|type=boon from among the options in chapter 7 of the DMG. If the character fails to gain a boon, they have a 10% chance chance the next time they gain a level.
If the character gains a boon, the DM chooses it or determines it randomly. The character also permanently loses one of their Hit Dice, and their hit point maximum is reduced by an amount equal to a roll of that die plus their Constitution modifier (minimum reduction of 1). This reduction can't be reversed by any means.

*Source: ERLW*",ERLW,feat;erlw
feat,Ability Score Improvement,,"## Ability Score Improvement

**Prerequisite:** None
**Ability Score Increase:** HIDDEN +True, HIDDEN +True

Increase one ability score of your choice by 2, or increase two ability scores of your choice by 1. This feat can't increase an ability score above 20.

**Repeatable.** You can take this feat more than once.

*Source: XPHB*",XPHB,feat;xphb
subclass,Abjuration,Wizard,"## Abjuration
*Wizard Subclass*


*Source: PHB*",PHB,subclass;wizard;phb
background,Acolyte,,"## Acolyte

**Skill Proficiencies:** Insight, Religion
**Languages:** 2 of your choice

- **Ability Scores::** 
- **Feat::** 
- **Skill Proficiencies::** 
- **Tool Proficiency::** 
- **Equipment::** 

*Source: PHB*",PHB,background;phb
feat,Actor,,"## Actor

**Prerequisite:** None
**Ability Score Increase:** CHA +1

Skilled at mimicry and dramatics, you gain the following benefits:
- You have advantage on Charisma (Deception) and Charisma (Performance) checks when trying to pass yourself off as a different person.
- You can mimic the speech of another person or the sounds made by other creatures. You must have heard the person speaking, or heard the creature make the sound, for at least 1 minute. A successful Wisdom (Insight) check contested by your Charisma (Deception) check allows a listener to determine that the effect is faked.

*Source: PHB*",PHB,feat;phb
