name,item_type,rarity,requires_attunement,attunement_requirement,description,mechanical_effect,charges,source_campaign,tags
Abacus,Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Acid (vial),Adventuring Gear,Common,0,,"As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon. On a hit, the target takes 2d6 acid damage.",,,,adventuring gear;magic-item
Adamantine Breastplate,Armor,Uncommon,0,,"This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit.",,,,armor;magic-item
Adamantine Chain Mail,Armor,Uncommon,0,,"This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit.",,,,armor;magic-item
Alchemist's Fire (flask),Adventuring Gear,Common,0,,"This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon. On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames.",,,,adventuring gear;magic-item
Alchemist's supplies,Tool,Common,0,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.,,,,tool;magic-item
Amulet of Health,Wondrous Item,Rare,1,requires attunement,Your Constitution score is 19 while you wear this amulet. It has no effect on you if your Constitution is already 19 or higher.,,,,wondrous item;magic-item
Amulet of Proof Against Detection and Location,Wondrous Item,Uncommon,1,requires attunement,"While wearing this amulet, you are hidden from divination magic. You can't be targeted by such magic or perceived through magical scrying sensors.",,,,wondrous item;magic-item
Amulet of the Planes,Wondrous Item,Very Rare,1,requires attunement,"While wearing this amulet, you can use an action to name a location that you are familiar with on another plane of existence. Then make a DC 15 Intelligence check. On a successful check, you cast the plane shift spell. On a failure, you and each creature and object within 15 feet of you travel to a random destination. Roll a d100. On a 1–60, you travel to a random location on the plane you named. On a 61–100, you travel to a randomly determined plane of existence.",,,,wondrous item;magic-item
Animated Shield,Armor,Very Rare,1,requires attunement,"While holding this shield, you can speak its command word as a bonus action to cause it to animate. The shield leaps into the air and hovers in your space to protect you as if you were wielding it, leaving your hands free. The shield remains animated for 1 minute, until you use a bonus action to end this effect, or until you are incapacitated or die, at which point the shield falls to the ground or into your hand if you have one free.",,,,armor;magic-item
Antitoxin (vial),Adventuring Gear,Common,0,,A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs.,,,,adventuring gear;magic-item
Apparatus of Kwalish,Wondrous Item,Legendary,0,,"This item first appears to be a Large sealed iron barrel weighing 500 pounds. The barrel has a hidden catch, which can be found with a successful DC 20 Intelligence (Investigation) check. Releasing the catch unlocks a hatch at one end of the barrel, allowing two Medium or smaller creatures to crawl inside. Ten levers are set in a row at the far end, each in a neutral position, able to move either up or down. When certain levers are used, the apparatus transforms to resemble a giant lobster. The apparatus of the Crab is a Large object with the following statistics: 

 Armor Class: 20
 Hit Points: 200
 Speed: 30 ft., swim 30 ft. (or 0 ft. for both if the legs and tail aren't extended)
 Damage Immunities: poison, psychic
 

 To be used as a vehicle, the apparatus requires one pilot. While the apparatus's hatch is closed, the compartment is airtight and watertight. The compartment holds enough air for 10 hours of breathing, divided by the number of breathing creatures inside. 

 The apparatus floats on water. It can also go underwater to a depth of 900 feet. Below that, the vehicle takes 2d6 bludgeoning damage per minute from pressure. 

 A creature in the compartment can use an action to move as many as two of the apparatus's levers up or down. After each use, a lever goes back to its neutral position. Each lever, from left to right, functions as shown in the Apparatus of the Crab Levers table.",,,,wondrous item;magic-item
"Arcane Focus, Crystal",Adventuring Gear,Common,0,,"An arcane focus is a special item–an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item–designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.",,,,adventuring gear;magic-item
"Arcane Focus, Orb",Adventuring Gear,Common,0,,"An arcane focus is a special item–an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item–designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.",,,,adventuring gear;magic-item
"Arcane Focus, Rod",Adventuring Gear,Common,0,,"An arcane focus is a special item–an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item–designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.",,,,adventuring gear;magic-item
"Arcane Focus, Staff",Adventuring Gear,Common,0,,"An arcane focus is a special item–an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item–designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.",,,,adventuring gear;magic-item
"Arcane Focus, Wand",Adventuring Gear,Common,0,,"An arcane focus is a special item–an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item–designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.",,,,adventuring gear;magic-item
Arrow-Catching Shield,Armor,Rare,1,requires attunement,"You gain a +2 bonus to AC against ranged attacks while you wield this shield. This bonus is in addition to the shield's normal bonus to AC. In addition, whenever an attacker makes a ranged attack against a target within 5 feet of you, you can use your reaction to become the target of the attack instead.",,,,armor;magic-item
Arrows (20),Martial Melee,Common,0,,**Cost:** 1 gp,,,,martial melee;weapon
Assassin’s Blood,Poison,Uncommon,0,,"A creature subjected to this poison must make a DC 10 Constitution saving throw. On a failed save, it takes 6 (1d12) poison damage and is poisoned for 24 hours. On a successful save, the creature takes half damage and isn’t poisoned.",,,,poison;magic-item
Backpack,Adventuring Gear,Common,0,,"Capacity: 1 cubic foot/30 pounds of gear. You can also strap items, such as a bedroll or a coil of rope, to the outside of a backpack.",,,,adventuring gear;magic-item
Bag of Holding,Wondrous Item,Uncommon,0,,"This bag has an interior space considerably larger than its outside dimensions, roughly 2 feet in diameter at the mouth and 4 feet deep. The bag can hold up to 500 pounds, not exceeding a volume of 64 cubic feet. The bag weighs 15 pounds, regardless of its contents. Retrieving an item from the bag requires an action.
If the bag is overloaded, pierced, or torn, it ruptures and is destroyed, and its contents are scattered in the Astral Plane. If the bag is turned inside out, its contents spill forth, unharmed, but the bag must be put right before it can be used again. Breathing creatures inside the bag can survive up to a number of minutes equal to 10 divided by the number of creatures (minimum 1 minute), after which time they begin to suffocate.
Placing a bag of holding inside an extradimensional space created by a handy haversack, portable hole, or similar item instantly destroys both items and opens a gate to the Astral Plane. The gate originates where the one item was placed inside the other. Any creature within 10 feet of the gate is sucked through it to a random location on the Astral Plane. The gate then closes. The gate is one-way only and can't be reopened.",,,,wondrous item;magic-item
Bagpipes,Tool,Common,0,,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",,,,tool;magic-item
Ball Bearings (bag of 1000),Adventuring Gear,Common,0,,"As an action, you can spill these tiny metal balls from their pouch to cover a level, square area that is 10 feet on a side. A creature moving across the covered area must succeed on a DC 10 Dexterity saving throw or fall prone. A creature moving through the area at half speed doesn't need to make the save.",,,,adventuring gear;magic-item
Barrel,Adventuring Gear,Common,0,,"Capacity: 40 gallons liquid, 4 cubic feet solid",,,,adventuring gear;magic-item
Basket,Adventuring Gear,Common,0,,Capacity: 2 cubic feet/40 pounds of gear,,,,adventuring gear;magic-item
Battleaxe,Martial Melee,Common,0,,"**Damage:** 1d8  
**Properties:** versatile (1d10)  
**Cost:** 10 gp",,,,martial melee;weapon
Bead of Force,Wondrous Item,Rare,0,,"This small black sphere measures 3/4 of an inch in diameter and weighs an ounce. Typically, 1d4 + 4 beads of force are found together. You can use an action to throw the bead up to 60 feet. The bead explodes on impact and is destroyed. Each creature within a 10-foot radius of where the bead landed must succeed on a DC 15 Dexterity saving throw or take 5d4 force damage. A sphere of transparent force then encloses the area for 1 minute. Any creature that failed the save and is completely within the area is trapped inside this sphere. Creatures that succeeded on the save, or are partially within the area, are pushed away from the center of the sphere until they are no longer inside it. Only breathable air can pass through the sphere's wall. No attack or other effect can. An enclosed creature can use its action to push against the sphere's wall, moving the sphere up to half the creature's walking speed. The sphere can be picked up, and its magic causes it to weigh only 1 pound, regardless of the weight of creatures inside.",,,,wondrous item;magic-item
Bedroll,Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Bell,Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Belt of Dwarvenkind,Wondrous Item,Rare,1,requires attunement,"While wearing this belt, you gain the following benefits:Your Constitution score increases by 2, to a maximum of 20.
You have advantage on Charisma (Persuasion) checks made to interact with dwarves.",,,,wondrous item;magic-item
Blanket,Adventuring Gear,Common,0,,,,,,adventuring gear;magic-item
Block and Tackle,Adventuring Gear,Common,0,,"A set of pulleys with a cable threaded through them and a hook to attach to objects, a block and tackle allows you to hoist up to four times the weight you can normally lift.",,,,adventuring gear;magic-item
Blood Stained Dress,Other,Common,0,,"A blood-stained dress which, despite being found in ruins which have lain undisturbed for centuries, is still a vibrant, stunning blue.",,,,other;magic-item
Blowgun,Martial Ranged,Common,0,,"**Damage:** 1  
**Properties:** ammunition (range 25/100), loading  
**Cost:** 10 gp",,,,martial ranged;weapon
Blowgun Needles (50),Martial Melee,Common,0,,**Cost:** 1 gp,,,,martial melee;weapon
Blue Quartz Gem,Other,Common,0,,A small quartz gemstone shaped in a bevelled square. It is transparent pale blue in color.,,,,other;magic-item
Bone Dice,Other,Common,0,,A pair of engraved bone dice.,,,,other;magic-item
Bone Fragments,Other,Common,0,,Bits of bone from an unknown creature.,,,,other;magic-item
Bone Needle,Other,Common,0,,A long needle carved out of bone.,,,,other;magic-item
Bones with bitemarks,Other,Common,0,,A small pile of bones with bitemarks from rodent.,,,,other;magic-item
Book,Adventuring Gear,Common,0,,"A book might contain poetry, historical accounts, information pertaining to a particular field of lore, diagrams and notes on gnomish contraptions, or just about anything else that can be represented using text or pictures.",,,,adventuring gear;magic-item
Boots of Elvenkind,Wondrous Item,Uncommon,0,,"While you wear these boots, your steps make no sound, regardless of the surface you are moving across. You also have advantage on Dexterity (Stealth) checks that rely on moving silently.",,,,wondrous item;magic-item
Boots of Levitation,Wondrous Item,Rare,1,requires attunement,"While you wear these boots, you can use an action to cast the levitate spell on yourself at will.",,,,wondrous item;magic-item
Boots of Speed,Wondrous Item,Rare,1,requires attunement,"While you wear these boots, you can use a bonus action and click the boots' heels together. If you do, the boots double your walking speed, and any creature that makes an opportunity attack against you has disadvantage on the attack roll. If you click your heels together again, you end the effect. When the boots' property has been used for a total of 10 minutes, the magic ceases to function until you finish a long rest.",,,,wondrous item;magic-item
Boots of Striding and Springing,Wondrous Item,Uncommon,1,requires attunement,"While you wear these boots, your walking speed becomes 30 feet, unless your walking speed is higher, and your speed isn't reduced if you are encumbered or wearing heavy armor. In addition, you can jump three times the normal distance, though you can't jump farther than your remaining movement would allow.",,,,wondrous item;magic-item
Boots of the Winterlands,Wondrous Item,Uncommon,1,requires attunement,"These furred boots are snug and feel quite warm. While you wear them, you gain the following benefits:You have resistance to cold damage.
You ignore difficult terrain created by ice or snow.
You can tolerate temperatures as low as −50 degrees Fahrenheit without any additional protection. If you wear heavy clothes, you can tolerate temperatures as low as −100 degrees Fahrenheit.",,,,wondrous item;magic-item
"Bottle, Glass",Adventuring Gear,Common,0,,Capacity: 1.5 pints of liquid,,,,adventuring gear;magic-item
Bowl of Commanding Water Elementals,Wondrous Item,Rare,0,,"While this bowl is filled with water, you can use an action to speak the bowl's command word and summon a water elemental, as if you had cast the conjure elemental spell. The bowl can't be used this way again until the next dawn. The bowl is about 1 foot in diameter and half as deep. It weighs 3 pounds and holds about 3 gallons.",,,,wondrous item;magic-item
Bracers of Archery,Wondrous Item,Uncommon,1,requires attunement,"While wearing these bracers, you have proficiency with the longbow and shortbow, and you gain a +2 bonus to damage rolls on ranged attacks made with such weapons.",,,,wondrous item;magic-item
